,age,workclass,fnlwgt,education,education-number,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
702,43,4,125831,9,13,4,8,3,4,1,99999,0,60,37,1
704,41,3,264663,1,7,0,7,1,4,0,0,0,40,37,0
708,50,4,137815,9,13,2,2,0,4,1,0,0,40,37,1
709,62,2,153891,8,11,2,3,0,4,1,3137,0,40,37,0
712,44,2,57233,15,10,2,2,0,4,1,0,0,40,37,1
714,37,2,132879,15,10,2,12,0,4,1,0,0,50,37,1
715,65,3,72776,5,4,4,4,1,4,1,2964,0,40,37,0
718,56,3,174564,12,14,2,8,0,4,1,0,0,60,37,1
722,47,3,60087,15,10,3,3,1,4,0,0,0,60,37,0
723,35,3,28987,6,5,2,2,0,0,1,0,0,96,37,0
725,29,2,218555,12,14,4,8,3,4,1,0,0,40,37,0
726,53,2,94214,14,15,2,8,0,1,1,7298,0,50,35,1
732,38,4,116975,15,10,2,9,0,4,1,0,1887,50,37,1
734,20,3,190968,5,4,4,2,3,4,1,0,0,20,37,0
736,28,1,190911,15,10,2,9,0,4,1,0,0,40,37,1
738,41,1,129793,11,9,4,7,3,4,1,0,0,30,37,0
739,37,1,270181,7,12,3,7,4,2,0,0,0,50,37,0
743,46,3,315984,11,9,2,3,0,4,1,0,0,50,37,0
746,30,3,100252,11,9,2,6,3,1,1,0,0,60,33,0
747,41,4,186990,14,15,6,8,1,3,0,0,0,52,37,1
748,37,4,241633,9,13,2,0,5,2,0,0,0,45,37,1
749,49,0,252616,11,9,2,12,0,1,1,0,0,40,28,0
750,41,0,46366,9,13,2,3,5,2,0,0,0,50,37,1
751,52,1,266138,8,11,2,3,0,4,1,0,0,35,37,0
754,25,4,77661,9,13,4,3,1,4,0,0,2444,40,37,1
755,44,2,60087,11,9,2,2,0,4,1,0,0,45,37,1
756,31,1,197550,11,9,0,8,4,4,1,0,0,33,37,0
760,30,0,340899,9,13,4,8,1,4,1,0,0,40,37,0
761,48,4,224752,11,9,2,0,5,4,0,0,0,40,37,1
769,56,4,133728,15,10,2,3,0,4,1,0,0,35,37,1
775,27,4,152560,14,15,2,8,0,4,1,0,0,60,37,0
788,45,1,211666,10,16,4,8,1,4,0,0,0,40,37,1
790,39,4,112812,11,9,2,9,2,4,0,0,0,40,37,0
793,23,3,145744,11,9,2,4,0,4,1,0,0,40,37,0
794,49,1,126754,11,9,2,7,2,4,1,0,0,40,20,0
795,46,4,54260,9,13,2,8,0,4,1,0,0,10,37,1
796,41,4,34895,9,13,4,11,1,4,0,0,0,43,37,0
799,34,1,191957,9,13,2,2,0,2,1,0,0,45,37,1
802,27,1,157449,11,9,2,11,0,4,1,0,0,50,37,1
808,44,4,165745,11,9,0,0,4,4,0,0,0,38,37,0
809,23,3,40323,15,10,2,2,0,4,1,0,0,40,37,1
812,21,1,152200,15,10,2,9,3,2,1,0,0,40,37,0
814,71,3,28865,11,9,2,4,0,4,1,0,0,15,37,0
817,21,4,204034,15,10,4,7,1,4,0,0,0,16,37,0
819,28,1,191088,9,13,0,8,1,4,0,2354,0,60,37,0
820,27,1,194515,7,12,4,8,3,2,0,0,0,37,37,0
830,66,4,148380,11,9,2,6,5,4,0,1424,0,10,37,0
833,36,0,327435,12,14,0,11,1,4,0,0,0,40,37,1
838,70,3,323987,5,4,2,2,0,4,1,0,0,8,37,0
841,19,4,42750,11,9,4,9,3,4,1,0,0,40,37,0
845,45,4,284763,15,10,0,8,4,2,0,0,0,40,37,0
847,56,3,233312,9,13,2,3,0,4,1,0,0,20,29,0
851,41,2,214247,14,15,2,8,0,4,1,0,2415,60,37,1
853,48,3,138069,4,3,2,2,0,4,1,0,2042,50,37,0
855,37,4,89083,7,12,2,7,0,4,1,0,0,35,37,0
858,47,1,169699,12,14,2,8,0,4,1,0,0,40,37,1
860,46,4,96652,8,11,5,0,4,2,0,0,0,40,37,0
861,42,3,103759,11,9,2,10,0,4,1,0,0,48,37,0
863,33,1,107215,6,5,2,7,0,4,1,0,0,40,37,0
866,40,0,134638,9,13,2,3,0,4,1,0,0,39,37,0
868,35,0,207973,10,16,2,8,0,4,1,0,0,55,1,0
870,73,3,252431,15,10,2,8,5,4,0,0,0,1,37,0
879,45,4,276157,9,13,2,8,0,4,1,0,0,40,37,1
883,19,1,259169,15,10,4,8,3,4,0,0,0,30,37,0
885,31,4,73161,12,14,2,8,0,4,1,0,1740,40,37,0
888,47,0,131726,15,10,0,0,1,4,1,0,1876,40,37,0
893,27,1,189775,2,8,4,7,3,2,0,0,0,44,37,0
897,45,3,213140,15,10,2,2,0,4,1,7688,0,45,37,1
906,50,2,145714,11,9,2,3,0,4,1,0,0,60,37,1
907,45,3,285570,11,9,2,12,0,4,1,0,0,80,37,0
908,54,3,399705,15,10,2,10,0,4,1,0,0,55,37,1
919,21,1,402230,15,10,4,0,4,4,1,0,0,36,37,0
922,38,1,105161,9,13,2,8,0,4,1,0,0,30,37,0
928,39,3,41017,0,6,2,12,0,4,1,0,0,70,37,0
929,73,3,214498,5,4,2,4,0,4,1,0,0,12,37,0
931,35,2,165799,9,13,2,10,0,4,1,0,0,50,37,0
935,53,3,99516,9,13,2,2,0,4,1,0,0,40,37,0
937,57,3,27385,15,10,2,3,0,4,1,0,0,48,37,1
938,27,3,147452,0,6,4,10,3,4,0,0,0,48,37,0
943,67,2,51415,15,10,2,10,0,4,1,0,0,40,37,0
947,20,3,115085,15,10,4,4,3,4,1,0,0,40,37,0
949,34,0,400943,9,13,4,3,1,4,1,0,0,44,37,0
953,19,1,220558,1,7,4,5,2,4,1,0,0,35,37,0
956,59,1,75785,1,7,2,7,0,4,1,0,0,40,37,0
958,41,3,134724,8,11,2,7,5,4,0,3103,0,40,37,1
972,40,3,173651,15,10,2,2,0,4,1,0,0,45,37,0
975,51,4,22211,11,9,0,3,1,4,1,0,0,37,37,1
976,23,1,57711,9,13,4,0,3,4,0,0,0,40,10,0
977,60,3,123190,6,5,2,3,0,4,1,0,1887,67,37,1
979,53,3,174102,14,15,0,8,4,4,1,25236,0,60,37,1
980,66,3,183249,9,13,2,8,0,4,1,0,0,20,37,1
982,44,1,49665,8,11,0,6,4,0,1,0,0,40,37,0
986,38,1,273457,15,10,2,0,0,4,1,0,0,40,37,1
987,31,0,165949,9,13,4,3,1,4,0,0,0,45,37,0
990,58,4,179089,9,13,2,0,5,4,0,0,0,40,37,0
991,44,3,53956,9,13,2,3,0,4,1,3137,0,40,37,0
992,59,2,77816,14,15,2,8,0,4,1,99999,0,40,37,1
993,36,1,74593,15,10,2,3,0,4,1,0,0,40,37,0
996,59,1,662460,0,6,6,8,4,4,0,0,0,15,37,0
1003,38,3,195686,11,9,5,3,4,4,1,0,0,25,37,0
1007,34,3,114074,8,11,6,3,4,4,0,0,0,40,37,0
1010,58,1,218724,11,9,6,7,1,4,1,0,0,40,37,0
1012,45,1,181964,15,10,2,8,0,4,1,0,1887,47,37,1
1015,40,0,107584,9,13,2,2,0,4,1,0,0,40,37,1
1020,36,3,294672,9,13,2,3,5,4,0,0,0,40,37,0
1022,41,3,280005,15,10,2,2,0,4,1,0,0,50,37,0
1023,29,0,66893,9,13,4,8,1,4,1,0,0,40,37,0
1025,53,0,36186,9,13,2,3,0,4,1,7298,0,40,37,1
1033,65,3,200565,15,10,2,10,0,4,1,0,0,18,37,0
1039,24,1,134181,12,14,4,8,3,4,0,0,0,40,37,0
1040,53,4,195690,10,16,2,8,0,4,1,0,1902,50,37,1
1041,37,2,94869,12,14,0,8,1,2,1,4787,0,40,37,1
1042,44,4,267464,15,10,5,11,3,2,0,0,0,40,37,0
1046,62,0,171995,0,6,2,5,0,2,1,2829,0,40,37,0
1049,32,4,189838,15,10,0,8,2,4,0,0,0,40,37,0
1055,41,4,124520,12,14,2,8,0,4,1,0,0,40,37,1
1057,32,4,247481,7,12,2,8,0,4,1,0,0,48,37,1
1065,53,4,205949,7,12,0,0,4,0,0,0,0,40,37,0
1075,58,4,299680,12,14,2,0,0,4,1,15024,0,43,37,1
1085,48,3,96975,11,9,5,7,4,4,0,0,0,45,37,0
1086,45,2,61885,9,13,2,3,0,4,1,15024,0,48,37,1
1088,37,4,142282,11,9,0,7,1,4,0,0,0,16,37,0
1090,63,3,201600,15,10,2,10,0,4,1,0,1902,60,37,1
1097,54,2,175339,9,13,2,10,0,4,1,0,2415,40,37,1
1100,34,4,32174,11,9,5,7,1,4,0,0,0,40,37,0
1102,33,3,294434,8,11,2,4,0,4,1,0,0,76,37,1
1110,55,3,73684,9,13,2,10,0,4,1,15024,0,65,37,1
1113,41,3,54611,11,9,2,12,0,4,1,7298,0,50,37,1
1115,71,0,101676,0,6,2,0,0,4,1,0,0,40,37,0
1121,31,1,378426,14,15,2,8,0,4,1,0,0,99,3,0
1125,34,4,238944,0,6,2,2,0,4,1,0,0,40,37,1
1129,28,1,134771,9,13,4,8,3,4,0,0,0,55,37,0
1135,27,3,216178,9,13,4,2,3,4,1,0,0,35,37,0
1136,38,3,248694,15,10,2,2,0,4,1,0,0,36,37,0
1143,44,4,204361,12,14,4,3,1,4,0,0,0,40,37,0
1148,46,3,292549,15,10,2,10,0,4,1,0,0,45,37,0
1155,39,4,42478,9,13,0,3,1,4,1,0,0,40,37,0
1157,56,2,124137,14,15,2,8,0,4,1,99999,0,45,37,1
1158,44,4,107503,10,16,2,8,0,4,1,5013,0,60,37,0
1162,36,3,269509,11,9,0,10,1,4,1,0,0,35,37,0
1166,41,1,343591,9,13,5,8,4,4,0,0,0,10,37,0
1172,44,3,188278,7,12,0,3,4,2,0,0,0,45,37,0
1174,74,1,168782,5,4,6,7,1,4,0,0,0,35,37,0
1180,64,0,168854,15,10,6,3,1,4,0,0,0,25,37,0
1188,30,4,157990,11,9,2,0,0,4,1,0,0,40,37,0
1190,56,3,296991,14,15,2,8,0,4,1,0,0,55,8,1
1195,39,0,450770,11,9,4,5,4,2,1,0,0,40,37,0
1196,49,3,166003,11,9,2,7,0,4,1,0,0,40,37,0
1198,42,4,60949,12,14,4,8,1,4,1,0,0,45,37,0
1199,51,1,181132,12,14,5,8,1,4,1,0,0,39,37,1
1211,37,1,347491,7,12,2,2,0,4,1,0,0,40,37,1
1212,45,2,208049,7,12,0,3,1,4,0,0,1590,40,37,0
1214,53,3,163826,15,10,2,8,0,4,1,0,0,45,37,1
1215,24,1,117023,9,13,4,8,3,4,0,0,0,40,37,0
1220,34,1,28568,11,9,0,2,4,4,1,0,0,40,37,0
1227,43,3,185413,9,13,2,3,0,4,1,0,1977,50,37,1
1233,43,1,70055,8,11,2,9,0,4,1,0,0,56,37,0
1238,27,3,226976,11,9,2,8,0,4,1,0,0,50,37,1
1245,71,2,172652,9,13,2,8,0,4,1,0,0,30,37,0
1246,29,0,204796,0,6,5,3,1,4,0,0,0,40,37,0
1247,23,4,186634,9,13,4,0,1,4,1,0,0,16,37,0
1250,47,4,287547,9,13,2,8,5,4,0,0,0,40,37,0
1253,35,1,252217,2,8,2,4,0,4,1,0,0,40,37,0
1254,42,2,202466,9,13,2,0,5,4,0,0,0,45,37,1
1260,46,3,481987,15,10,2,8,0,4,1,0,0,35,37,0
1271,30,3,370498,15,10,4,10,1,4,1,0,0,40,37,0
1273,44,3,193882,14,15,2,8,0,4,1,0,0,50,37,1
1276,42,3,83953,15,10,2,4,0,4,1,0,0,70,37,0
1278,45,4,112761,15,10,0,0,1,4,0,0,0,45,37,0
1280,30,0,42900,9,13,4,8,1,4,1,0,0,40,37,0
1284,65,0,200764,11,9,6,0,1,4,0,0,0,40,37,0
1286,36,3,166193,11,9,2,10,0,4,1,0,0,30,37,0
1289,30,4,184901,9,13,2,3,0,4,1,0,0,40,37,1
1301,45,4,259087,12,14,0,8,1,4,0,0,0,45,37,0
1302,37,4,62428,15,10,4,8,4,2,0,0,0,15,37,0
1305,18,4,201117,11,9,4,0,3,4,1,0,0,40,37,0
1310,58,1,158357,9,13,0,8,1,4,0,0,0,40,37,0
1321,62,1,106069,5,4,2,2,0,4,1,0,0,40,37,0
1328,45,4,28171,12,14,2,3,0,4,1,0,0,40,37,0
1334,63,2,180955,4,3,2,10,0,4,1,0,0,25,37,0
1336,38,3,245090,9,13,2,11,0,4,1,0,0,50,37,1
1341,52,4,32372,15,10,2,8,0,4,1,0,0,40,37,0
1352,45,3,144086,1,7,2,2,0,4,1,0,0,50,37,0
1354,68,2,260198,9,13,2,10,0,4,1,0,0,40,37,1
1358,39,1,52401,12,14,4,8,1,4,0,0,0,50,37,0
1361,29,1,187981,15,10,2,7,0,4,1,0,0,40,37,0
1363,54,1,168212,9,13,2,8,0,4,1,7688,0,40,37,1
1368,23,1,238384,11,9,4,0,3,4,0,0,0,40,37,0
1371,39,3,267412,8,11,2,4,0,4,1,0,0,60,37,0
1372,26,1,391074,0,6,4,5,3,2,1,0,0,40,37,0
1376,33,1,83413,15,10,2,9,0,4,1,0,0,50,37,1
1379,33,3,103435,14,15,2,8,0,4,1,7688,0,50,37,1
1387,44,1,157473,12,14,0,8,1,4,0,0,0,50,37,1
1389,69,2,264722,7,12,2,10,0,4,1,0,0,40,37,1
1391,47,1,216586,1,7,0,7,1,2,1,0,0,40,37,0
1393,25,4,150083,9,13,4,8,1,4,1,0,0,20,37,0
1397,48,0,191013,9,13,6,8,4,0,0,0,0,40,37,0
1398,82,2,220667,5,4,6,3,1,4,0,0,0,40,37,0
1403,66,3,240294,15,10,2,12,0,2,1,0,0,60,37,0
1408,41,3,239061,12,14,6,8,1,4,0,0,0,20,37,0
1413,45,4,72896,8,11,2,8,0,4,1,0,0,40,37,1
1418,55,2,298449,10,16,2,8,0,4,1,0,2179,60,37,0
1419,21,1,300812,11,9,4,7,3,4,1,0,0,40,37,0
1424,44,4,119567,12,14,5,8,4,4,0,0,0,40,37,0
1426,35,4,28738,9,13,4,0,1,4,0,4101,0,40,37,0
1430,28,3,132686,12,14,4,8,1,4,1,0,0,40,37,0
1431,33,2,196963,15,10,4,3,1,4,0,0,0,60,37,0
1432,31,4,46492,8,11,4,2,3,4,1,0,0,40,37,0
1433,38,1,274245,7,12,4,8,1,4,1,0,0,40,37,0
1437,42,0,178074,12,14,2,0,5,4,0,0,1902,40,37,1
1439,32,1,130242,9,13,2,8,0,4,1,0,0,45,37,0
1447,47,2,308241,9,13,0,3,4,4,0,0,0,60,37,1
1449,50,1,173630,12,14,2,8,0,4,1,0,0,36,37,1
1450,42,0,348059,7,12,5,8,4,4,0,0,0,40,37,1
1457,40,3,194924,15,10,2,4,0,4,1,0,0,60,37,0
1458,39,3,73471,11,9,2,7,0,4,1,0,1573,45,37,0
1466,48,1,132368,4,3,2,12,0,4,1,0,0,40,37,0
1469,40,4,105936,14,15,4,8,3,4,0,0,0,40,37,0
1472,47,1,204698,12,14,2,8,0,4,1,0,0,40,37,0
1474,22,4,199266,15,10,4,0,1,4,0,0,0,17,37,0
1477,42,2,188738,9,13,2,3,0,4,1,7688,0,40,37,1
1479,67,1,197816,11,9,2,8,0,4,1,0,0,24,37,0
1481,59,3,211678,12,14,2,12,0,4,1,0,0,15,37,0
1484,33,3,79303,15,10,2,4,0,4,1,0,0,50,37,0
1485,44,1,64632,9,13,4,8,1,4,1,0,0,55,37,0
1487,39,1,174597,9,13,2,2,0,4,1,0,0,42,37,0
1490,44,3,138471,15,10,2,2,0,4,1,0,0,50,37,0
1496,32,0,113838,9,13,2,8,0,4,1,0,0,40,37,1
1498,37,3,227253,13,1,2,10,0,4,1,0,0,30,24,0
1505,35,1,258725,7,12,2,11,0,4,1,0,0,40,37,0
1506,47,1,127678,15,10,2,9,0,4,1,0,0,48,37,1
1511,55,3,150917,5,4,2,10,0,4,1,0,0,80,37,0
1513,49,3,43479,10,16,0,8,4,4,1,0,0,63,1,1
1517,69,3,199829,9,13,2,3,0,4,1,0,1258,40,37,0
1528,48,3,116360,8,11,0,11,2,2,0,0,0,10,37,0
1531,47,3,39518,9,13,2,10,0,4,1,0,0,60,37,0
1540,40,4,285000,9,13,0,0,4,2,0,0,0,40,37,0
1542,28,4,132675,8,11,4,3,1,2,0,0,0,40,10,0
1552,21,1,166827,15,10,4,7,1,4,0,0,0,32,37,0
1556,33,4,150688,10,16,2,8,0,1,1,0,0,50,17,1
1558,42,2,198282,9,13,2,3,0,4,1,0,0,60,37,1
1561,60,1,129193,15,10,6,4,1,4,1,0,0,40,37,0
1562,57,1,167457,5,4,0,3,4,4,0,0,0,40,37,0
1566,45,1,187715,11,9,2,9,0,4,1,0,0,40,37,1
1567,48,0,71376,12,14,4,3,1,4,1,0,0,40,37,0
1576,44,0,38321,11,9,2,2,0,4,1,0,0,40,37,1
1581,53,3,385520,11,9,6,4,4,4,0,0,0,55,37,0
1582,25,3,193716,15,10,2,4,0,4,1,0,0,50,37,0
